"CatchID","species","length","weight"
1,"channelCatfish",425,894
2,"bluegill",129,83
3,"bluegill",93,88
4,"channelCatfish",219,554
5,"bluegill",202,99
6,"bluegill",146,171
7,"bluegill",98,113
8,"bluegill",207,89
9,"spottedBass",233,208
10,"bluegill",113,112
11,"yellowPerch",159,292
12,"bluegill",73,145
13,"channelCatfish",104,612
14,"bluegill",80,130
15,"bluegill",93,156
16,"yellowPerch",95,323
17,"channelCatfish",188,492
18,"channelCatfish",367,579
19,"yellowPerch",180,107
20,"channelCatfish",315,300
21,"bluegill",54,142
22,"bluegill",161,89
23,"bluegill",156,142
24,"bluegill",189,180
25,"bluegill",65,184
26,"channelCatfish",381,650
27,"bluegill",101,167
28,"bluegill",113,198
29,"largemouth",233,326
30,"yellowPerch",94,305
31,"bluegill",73,191
32,"bluegill",165,105
33,"largemouth",216,787
34,"bluegill",98,148
35,"largemouth",170,933
36,"bluegill",193,121
37,"bluegill",173,99
38,"channelCatfish",352,303
39,"bluegill",187,179
40,"bluegill",201,171
41,"yellowPerch",85,193
42,"largemouth",341,816
43,"bluegill",106,160
44,"bluegill",201,177
45,"largemouth",284,963
46,"bluegill",206,164
47,"spottedBass",256,383
48,"bluegill",75,122
49,"bluegill",118,124
50,"channelCatfish",172,778
51,"largemouth",362,985
52,"bluegill",100,153
53,"bluegill",101,172
54,"bluegill",59,199
55,"yellowPerch",140,210
56,"largemouth",247,922
57,"bluegill",210,192
58,"spottedBass",253,304
59,"bluegill",140,85
60,"yellowPerch",143,183
61,"yellowPerch",158,253
62,"channelCatfish",420,606
63,"largemouth",128,552
64,"bluegill",98,168
65,"largemouth",180,765
66,"bluegill",60,98
67,"bluegill",207,182
68,"largemouth",157,961
69,"bluegill",110,178
70,"largemouth",300,608
71,"channelCatfish",356,704
72,"yellowPerch",156,154
73,"bluegill",51,126
74,"bluegill",69,143
75,"yellowPerch",116,320
76,"channelCatfish",217,758
77,"bluegill",84,108
78,"channelCatfish",123,642
79,"channelCatfish",263,737
80,"channelCatfish",270,388
81,"bluegill",197,121
82,"bluegill",68,200
83,"channelCatfish",213,433
84,"yellowPerch",159,113
85,"bluegill",87,99
86,"bluegill",151,143
87,"largemouth",158,669
88,"largemouth",273,327
89,"channelCatfish",359,836
90,"channelCatfish",283,345
91,"bluegill",64,124
92,"bluegill",134,171
93,"channelCatfish",399,686
94,"yellowPerch",155,303
95,"bluegill",91,173
96,"yellowPerch",98,107
97,"largemouth",183,909
98,"bluegill",195,179
99,"yellowPerch",87,323
100,"bluegill",164,157
101,"largemouth",368,1077
102,"bluegill",126,94
103,"bluegill",192,194
104,"bluegill",96,144
105,"bluegill",194,165
106,"spottedBass",186,411
107,"channelCatfish",123,315
108,"bluegill",58,175
109,"largemouth",339,1194
110,"bluegill",126,155
111,"yellowPerch",171,205
112,"bluegill",158,118
113,"bluegill",208,174
114,"bluegill",100,138
115,"bluegill",51,123
116,"yellowPerch",120,305
117,"spottedBass",291,353
118,"bluegill",162,162
119,"bluegill",68,149
120,"largemouth",293,323
121,"bluegill",125,99
122,"bluegill",59,117
123,"channelCatfish",237,552
124,"yellowPerch",153,131
125,"bluegill",106,92
126,"largemouth",372,928
127,"bluegill",117,96
128,"bluegill",154,103
129,"largemouth",157,279
130,"bluegill",90,196
131,"bluegill",75,188
132,"largemouth",270,1023
133,"largemouth",335,720
134,"bluegill",127,186
135,"bluegill",112,174
136,"bluegill",74,80
137,"spottedBass",257,432
138,"bluegill",196,171
139,"channelCatfish",426,778
140,"largemouth",201,798
141,"bluegill",153,185
142,"largemouth",348,594
143,"bluegill",157,197
144,"yellowPerch",86,283
145,"bluegill",51,164
146,"largemouth",195,1060
147,"yellowPerch",93,257
148,"bluegill",117,154
149,"bluegill",99,82
150,"largemouth",355,642
151,"largemouth",204,584
152,"bluegill",159,194
153,"bluegill",168,144
154,"largemouth",244,1018
155,"bluegill",175,82
156,"bluegill",196,194
157,"bluegill",93,114
158,"bluegill",81,196
159,"spottedBass",242,266
160,"bluegill",84,175
161,"bluegill",112,190
162,"channelCatfish",334,898
163,"largemouth",229,420
164,"largemouth",354,1170
165,"bluegill",125,150
166,"bluegill",169,165
167,"channelCatfish",397,646
168,"channelCatfish",126,583
169,"largemouth",196,586
170,"yellowPerch",158,102
171,"channelCatfish",176,620
172,"bluegill",178,168
173,"largemouth",382,516
174,"channelCatfish",190,459
175,"largemouth",350,1036
176,"bluegill",51,158
177,"bluegill",72,127
178,"bluegill",83,171
179,"yellowPerch",141,205
180,"yellowPerch",99,263
181,"channelCatfish",115,444
182,"bluegill",122,173
183,"bluegill",61,96
184,"yellowPerch",149,227
185,"bluegill",88,85
186,"channelCatfish",374,674
187,"bluegill",81,113
188,"yellowPerch",162,345
189,"bluegill",63,125
190,"bluegill",174,181
191,"yellowPerch",106,164
192,"bluegill",88,140
193,"bluegill",149,158
194,"spottedBass",184,559
195,"bluegill",181,192
196,"bluegill",131,112
197,"bluegill",58,101
198,"bluegill",128,168
199,"bluegill",110,106
200,"yellowPerch",155,280
201,"bluegill",73,99
202,"bluegill",173,110
203,"largemouth",146,258
204,"bluegill",185,178
205,"channelCatfish",398,710
206,"bluegill",193,186
207,"channelCatfish",322,747
208,"bluegill",177,81
209,"largemouth",293,549
210,"channelCatfish",251,484
211,"bluegill",184,93
212,"channelCatfish",397,363
213,"yellowPerch",80,219
214,"bluegill",208,151
215,"yellowPerch",111,134
216,"bluegill",183,190
217,"bluegill",184,181
218,"bluegill",67,131
219,"bluegill",75,115
220,"bluegill",66,87
221,"bluegill",170,94
222,"bluegill",178,102
223,"yellowPerch",148,279
224,"bluegill",59,196
225,"yellowPerch",128,187
226,"spottedBass",278,392
227,"bluegill",108,82
228,"bluegill",116,160
229,"bluegill",82,140
230,"bluegill",209,94
231,"bluegill",159,185
232,"largemouth",266,655
233,"largemouth",170,955
234,"bluegill",55,123
235,"bluegill",50,123
236,"bluegill",140,123
237,"largemouth",346,346
238,"channelCatfish",156,869
239,"bluegill",95,122
240,"bluegill",99,100
241,"bluegill",168,165
242,"channelCatfish",278,379
243,"bluegill",144,183
244,"bluegill",137,194
245,"bluegill",81,144
246,"largemouth",235,1163
247,"bluegill",124,87
248,"bluegill",106,112
249,"bluegill",205,80
250,"bluegill",205,151
251,"spottedBass",230,415
252,"bluegill",206,173
253,"yellowPerch",179,207
254,"bluegill",114,176
255,"channelCatfish",237,864
256,"bluegill",96,163
257,"bluegill",122,125
258,"largemouth",196,461
259,"bluegill",196,109
260,"bluegill",59,105
